geo,time,hpi
France,2021-Q2,122.12
France,2021-Q3,126.11
France,2021-Q4,127.52
France,2022-Q1,128.6
France,2022-Q2,130.83
France,2022-Q3,134.34
France,2022-Q4,133.5
France,2023-Q1,132.32
France,2023-Q2,131.72
France,2023-Q3,132.25
France,2023-Q4,128.73
France,2024-Q1,125.96
France,2024-Q2,125.68
France,2024-Q3,127.64
France,2024-Q4,126.28
France,2025-Q1,126.54
France,2025-Q2,126.54
France,2025-Q3,128.54
Croatia,2015-Q1,101.05
Croatia,2015-Q2,99.13
Croatia,2015-Q3,99.86
Croatia,2015-Q4,99.96
Croatia,2016-Q1,101.21
Croatia,2016-Q2,100.28
Croatia,2016-Q3,101.31
Croatia,2016-Q4,100.75
Croatia,2017-Q1,100.85
Croatia,2017-Q2,104.55
Croatia,2017-Q3,105.13
Croatia,2017-Q4,108.45
Croatia,2018-Q1,109.44
Croatia,2018-Q2,109.26
Croatia,2018-Q3,112.32
Croatia,2018-Q4,113.54
Croatia,2019-Q1,117.55
Croatia,2019-Q2,120.6
Croatia,2019-Q3,121.36
Croatia,2019-Q4,124.9
Croatia,2020-Q1,128.25
Croatia,2020-Q2,130.57
Croatia,2020-Q3,129.75
Croatia,2020-Q4,132.95
Croatia,2021-Q1,134.19
Croatia,2021-Q2,139.03
Croatia,2021-Q3,141.44
Croatia,2021-Q4,144.99
Croatia,2022-Q1,152.25
Croatia,2022-Q2,157.94
Croatia,2022-Q3,162.44
Croatia,2022-Q4,170.11
Croatia,2023-Q1,173.56
Croatia,2023-Q2,179.63
Croatia,2023-Q3,180.09
Croatia,2023-Q4,186.24
Croatia,2024-Q1,189.41
Croatia,2024-Q2,197.53
Croatia,2024-Q3,202.19
Croatia,2024-Q4,205.01
Croatia,2025-Q1,214.18
Croatia,2025-Q2,223.65
Croatia,2025-Q3,230.07
Hungary,2015-Q1,93.6
Hungary,2015-Q2,98.69
Hungary,2015-Q3,103.06
Hungary,2015-Q4,104.65
Hungary,2016-Q1,109.39
Hungary,2016-Q2,111.97
Hungary,2016-Q3,115.2
Hungary,2016-Q4,116.95
Hungary,2017-Q1,122.24
Hungary,2017-Q2,125.48
Hungary,2017-Q3,129.28
Hungary,2017-Q4,131.96
Hungary,2018-Q1,138.65
Hungary,2018-Q2,142.52
Hungary,2018-Q3,148.49
Hungary,2018-Q4,152.32
Hungary,2019-Q1,165.03
Hungary,2019-Q2,170.54
Hungary,2019-Q3,173.22
Hungary,2019-Q4,171.88
Hungary,2020-Q1,178.74
Hungary,2020-Q2,174.9
Hungary,2020-Q3,181.59
Hungary,2020-Q4,179.08
Hungary,2021-Q1,195.95
Hungary,2021-Q2,204.4
Hungary,2021-Q3,211.94
Hungary,2021-Q4,219.86
Hungary,2022-Q1,241.42
Hungary,2022-Q2,255.23
